Section;h, mm;b, mm;t, mm;A, cm2;Ix, cm4;Wx, cm3;rx, cm;Iy, cm4;Wy, cm3;ry, cm;R, mm;m, kg/m
40x40x2;40;40;2;2.94;6.94;3.47;1.54;6.94;3.47;1.54;4;2.31
40x40x2.5;40;40;2.5;3.59;8.21;4.1;1.51;8.21;4.1;1.51;5;2.82
40x40x3;40;40;3;4.21;9.31;4.65;1.49;9.31;4.65;1.49;6;3.3
40x40x3.5;40;40;3.5;4.79;10.26;5.13;1.46;10.26;5.13;1.46;7;3.76
40x40x4;40;40;4;5.35;11.05;5.52;1.44;11.05;5.52;1.44;8;4.2
50x50x2;50;50;2;3.74;14.14;5.66;1.95;14.14;5.66;1.95;4;2.93
50x50x2.5;50;50;2.5;4.59;16.93;6.77;1.92;16.93;6.77;1.92;5;3.6
50x50x3;50;50;3;5.41;19.45;7.78;1.9;19.45;7.78;1.9;6;4.25
50x50x3.5;50;50;3.5;6.19;21.7;8.68;1.87;21.7;8.68;1.87;7;4.86
50x50x4;50;50;4;6.95;23.7;9.48;1.85;23.7;9.48;1.85;8;5.45
50x50x4.5;50;50;4.5;7.67;25.45;10.19;1.82;25.45;10.19;1.82;9;6.02
50x50x5;50;50;5;8.36;26.98;10.79;1.8;26.98;10.79;1.8;10;6.56
50x50x5.5;50;50;5.5;9.01;28.27;11.31;1.77;28.27;11.31;1.77;11;7.07
50x50x6;50;50;6;9.63;29.36;11.74;1.75;29.36;11.74;1.75;12;7.56
60x60x2;60;60;2;4.54;25.14;8.38;2.35;25.14;8.38;2.35;4;3.56
60x60x2.5;60;60;2.5;5.59;30.33;10.11;2.33;30.33;10.11;2.33;5;4.39
60x60x3;60;60;3;6.61;35.11;11.7;2.31;35.11;11.7;2.31;6;5.19
60x60x3.5;60;60;3.5;7.59;39.5;13.17;2.28;39.5;13.17;2.28;7;5.96
60x60x4;60;60;4;8.55;43.5;14.5;2.26;43.5;14.5;2.26;8;6.71
60x60x4.5;60;60;4.5;9.47;47.14;15.71;2.23;47.14;15.71;2.23;9;7.43
60x60x5;60;60;5;10.36;50.41;16.8;2.21;50.41;16.8;2.21;10;8.13
60x60x5.5;60;60;5.5;11.21;53.34;17.78;2.18;53.34;17.78;2.18;11;8.8
