№;B;b;t;m;A;R;r;Jx;Wx;ix;Jy;Wy;iy;Jx0;ix0;Jy0;Wy0;iy0;Jxy;x0;y0
20_20_3;0.02;0.02;0.003;0.89;0.000113;0.0035;0.0012;0.000000004;0.00000028;0.0059;0.000000004;0.00000028;0.0059;6.3E-09;0.0075;1.7E-09;0.0000002;0.0039;2.3E-09;0.006;0.006
20_20_4;0.02;0.02;0.004;1.15;0.000146;0.0035;0.0012;0.000000005;0.00000037;0.0058;0.000000005;0.00000037;0.0058;7.8E-09;0.0073;2.2E-09;0.00000024;0.0038;2.8E-09;0.0064;0.0064
25_25_3;0.025;0.025;0.003;1.12;0.000143;0.0035;0.0012;8.1E-09;0.00000046;0.0075;8.1E-09;0.00000046;0.0075;1.29E-08;0.0095;3.4E-09;0.00000033;0.0049;4.7E-09;0.0073;0.0073
25_25_4;0.025;0.025;0.004;1.46;0.000186;0.0035;0.0012;1.03E-08;0.00000059;0.0074;1.03E-08;0.00000059;0.0074;1.62E-08;0.0093;4.4E-09;0.00000041;0.0048;5.9E-09;0.0076;0.0076
25_25_5;0.025;0.025;0.005;1.78;0.000227;0.0035;0.0012;1.22E-08;0.00000071;0.0073;1.22E-08;0.00000071;0.0073;1.91E-08;0.0092;5.3E-09;0.00000047;0.0048;6.9E-09;0.008;0.008
28_28_3;0.028;0.028;0.003;1.27;0.000162;0.004;0.0013;1.16E-08;0.00000058;0.0085;1.16E-08;0.00000058;0.0085;1.84E-08;0.0107;4.8E-09;0.00000042;0.0055;6.8E-09;0.008;0.008
30_30_3;0.03;0.03;0.003;1.36;0.000174;0.004;0.0013;1.45E-08;0.00000067;0.0091;1.45E-08;0.00000067;0.0091;0.000000023;0.0115;0.000000006;0.00000053;0.0059;8.5E-09;0.0085;0.0085
30_30_4;0.03;0.03;0.004;1.78;0.000227;0.004;0.0013;1.84E-08;0.00000087;0.008;1.84E-08;0.00000087;0.008;2.92E-08;0.0113;7.7E-09;0.00000061;0.0058;1.08E-08;0.0089;0.0089
30_30_5;0.03;0.03;0.005;2.18;0.000278;0.004;0.0013;0.000000022;0.00000106;0.0089;0.000000022;0.00000106;0.0089;3.47E-08;0.0112;9.4E-09;0.00000071;0.0058;1.27E-08;0.0093;0.0093
32_32_3;0.032;0.032;0.003;1.46;0.000186;0.0045;0.0015;1.77E-08;0.00000077;0.0097;1.77E-08;0.00000077;0.0097;0.000000028;0.0123;7.4E-09;0.00000059;0.0063;1.03E-08;0.0089;0.0089
32_32_4;0.032;0.032;0.004;1.91;0.000243;0.0045;0.0015;2.26E-08;0.000001;0.0096;2.26E-08;0.000001;0.0096;3.58E-08;0.0121;9.4E-09;0.00000071;0.0062;1.32E-08;0.0094;0.0094
35_35_3;0.035;0.035;0.003;1.6;0.000204;0.0045;0.0015;2.35E-08;0.00000093;0.0107;2.35E-08;0.00000093;0.0107;3.72E-08;0.0135;9.7E-09;0.00000071;0.0069;1.37E-08;0.0097;0.0097
35_35_4;0.035;0.035;0.004;2.1;0.000217;0.0045;0.0015;3.01E-08;0.00000121;0.0106;3.01E-08;0.00000121;0.0106;4.76E-08;0.0133;1.25E-08;0.00000088;0.0068;1.75E-08;0.0101;0.0101
35_35_5;0.035;0.035;0.005;2.58;0.000328;0.0045;0.0015;3.61E-08;0.00000147;0.0105;3.61E-08;0.00000147;0.0105;5.71E-08;0.0132;1.52E-08;0.00000102;0.0068;0.000000021;0.0105;0.0105
40_40_3;0.04;0.04;0.003;1.85;0.000236;0.005;0.0017;3.55E-08;0.00000122;0.0123;3.55E-08;0.00000122;0.0123;5.63E-08;0.0155;1.47E-08;0.00000095;0.0079;2.08E-08;0.0109;0.0109
40_40_4;0.04;0.04;0.004;2.42;0.000308;0.005;0.0017;4.58E-08;0.0000016;0.0122;4.58E-08;0.0000016;0.0122;7.26E-08;0.0153;0.000000019;0.00000119;0.0078;2.68E-08;0.0113;0.0113
40_40_5;0.04;0.04;0.005;2.98;0.000379;0.005;0.0017;5.53E-08;0.00000195;0.012;5.53E-08;0.00000195;0.012;8.75E-08;0.0152;0.000000023;0.00000139;0.0078;3.22E-08;0.0117;0.0117
40_40_6;0.04;0.04;0.006;3.52;0.000448;0.005;0.0017;6.41E-08;0.0000023;0.012;6.41E-08;0.0000023;0.012;1.013E-07;0.015;0.000000027;0.00000158;0.0078;3.72E-08;0.0121;0.0121
45_45_3;0.045;0.045;0.003;2.08;0.000265;0.005;0.0017;5.13E-08;0.00000156;0.0139;5.13E-08;0.00000156;0.0139;8.13E-08;0.0175;2.12E-08;0.00000124;0.0089;0.00000003;0.0121;0.0121
45_45_4;0.045;0.045;0.004;2.73;0.000348;0.005;0.0017;6.63E-08;0.00000204;0.0138;6.63E-08;0.00000204;0.0138;0.000000105;0.0174;2.74E-08;0.00000154;0.0089;3.89E-08;0.0126;0.0126
45_45_5;0.045;0.045;0.005;3.37;0.000429;0.005;0.0017;8.03E-08;0.00000251;0.0137;8.03E-08;0.00000251;0.0137;0.000000127;0.0172;3.33E-08;0.00000181;0.0088;4.71E-08;0.013;0.013
50_50_3;0.05;0.05;0.003;2.32;0.000295;0.0055;0.0018;7.11E-08;0.00000194;0.0155;7.11E-08;0.00000194;0.0155;0.000000113;0.0195;2.95E-08;0.0000016;0.01;4.16E-08;0.0133;0.0133
50_50_4;0.05;0.05;0.004;3.05;0.000388;0.0055;0.0018;9.21E-08;0.00000254;0.0154;9.21E-08;0.00000254;0.0154;0.000000146;0.0194;0.000000038;0.000002;0.0099;5.42E-08;0.0138;0.0138
