№;B;b;t;m;A;R;r;Jx;Wx;ix;Jy;Wy;iy;Ju;Wu;iu;x0;y0;Jxy;tga
25_16_3;0.025;0.016;0.003;0.91;0.000116;0.0035;0.0012;0.000000007;0.00000043;0.0078;2.2E-09;0.00000019;0.0044;1.3E-09;0.00000016;0.003365793;0.0042;0.008586207;2.2E-09;0.392
30_20_3;0.03;0.02;0.003;1.12;0.000143;0.0035;0.0012;1.27E-08;0.00000062;0.0091;4.5E-09;0.0000003;0.0056;2.6E-09;0.00000025;0.0043;0.005;0.01;4.3E-09;0.427
30_20_4;0.03;0.02;0.004;1.46;0.000186;0.0035;0.0012;1.61E-08;0.00000082;0.0093;5.6E-09;0.00000039;0.0055;3.4E-09;0.00000032;0.0043;0.0054;0.010365591;5.1E-09;0.421
32_20_3;0.032;0.02;0.003;1.17;0.000149;0.0035;0.0012;1.52E-08;0.00000072;0.0101;4.6E-09;0.0000003;0.0055;2.8E-09;0.00000025;0.0043;0.0049;0.0108;4.7E-09;0.382
32_20_4;0.032;0.02;0.004;1.52;0.000194;0.0035;0.0012;1.93E-08;0.00000093;0.01;5.7E-09;0.00000039;0.0054;3.5E-09;0.00000033;0.0043;0.0053;0.011216495;5.9E-09;0.374
40_25_3;0.04;0.025;0.003;1.48;0.000188;0.004;0.0013;3.06E-08;0.00000114;0.0127;9.3E-09;0.00000049;0.007;5.6E-09;0.00000041;0.0054;0.0059;0.013292553;9.6E-09;0.385
40_25_4;0.04;0.025;0.004;1.94;0.000247;0.004;0.0013;3.93E-08;0.00000149;0.0126;1.18E-08;0.00000063;0.0069;7.1E-09;0.00000052;0.0054;0.0062;0.013635628;1.22E-08;0.381
40_25_5;0.04;0.025;0.005;2.37;0.000302;0.004;0.0013;4.73E-08;0.00000182;0.0125;1.41E-08;0.00000077;0.0068;8.6E-09;0.00000061;0.0053;0.0066;0.014072848;1.44E-08;0.374
40_30_4;0.04;0.03;0.004;2.26;0.000267;0.004;0.0013;4.18E-08;0.00000154;0.0125;2.01E-08;0.00000091;0.0087;1.09E-08;0.00000075;0.0064;0.0078;0.0128;1.68E-08;0.544
40_30_5;0.04;0.03;0.005;2.46;0.000328;0.004;0.0013;5.04E-08;0.00000188;0.0124;2.41E-08;0.00000111;0.0086;1.33E-08;0.00000091;0.0064;0.0082;0.013147866;0.00000002;0.539
45_28_3;0.045;0.028;0.003;1.68;0.000214;0.005;0.0017;4.41E-08;0.00000145;0.0148;1.32E-08;0.00000061;0.0079;7.9E-09;0.00000052;0.0061;0.0064;0.014719626;1.38E-08;0.382
45_28_4;0.045;0.028;0.004;2.2;0.00028;0.005;0.0017;5.68E-08;0.0000019;0.0142;1.69E-08;0.0000008;0.0078;1.02E-08;0.00000067;0.006;0.0068;0.01515;1.77E-08;0.379
50_32_3;0.05;0.032;0.003;1.9;0.000242;0.0055;0.0018;6.18E-08;0.00000182;0.016;1.99E-08;0.00000081;0.0091;1.18E-08;0.00000068;0.007;0.0072;0.016;2.01E-08;0.403
50_32_4;0.05;0.032;0.004;2.49;0.000317;0.0055;0.0018;7.98E-08;0.00000238;0.0159;2.56E-08;0.00000105;0.009;1.52E-08;0.00000088;0.0069;0.0076;0.016479495;2.59E-08;0.401
56_36_4;0.056;0.036;0.004;2.81;0.000358;0.006;0.002;1.137E-07;0.00000301;0.0178;0.000000037;0.00000134;0.0102;2.19E-08;0.00000113;0.0078;0.0084;0.018234637;3.74E-08;0.403
56_36_5;0.056;0.036;0.005;3.46;0.000441;0.006;0.002;1.382E-07;0.0000037;0.0177;4.48E-08;0.00000165;0.0101;2.65E-08;0.00000137;0.0078;0.0088;0.018656463;0.000000045;0.404
63_40_4;0.063;0.04;0.004;3.17;0.000404;0.007;0.0023;1.633E-07;0.00000383;0.0201;5.16E-08;0.00000167;0.0113;3.07E-08;0.00000141;0.0087;0.0091;0.020361386;5.25E-08;0.397
63_40_5;0.063;0.04;0.005;3.91;0.000498;0.007;0.0023;1.901E-07;0.00000472;0.02;6.26E-08;0.00000205;0.0112;3.73E-08;0.00000172;0.0086;0.0095;0.020803213;6.41E-08;0.396
63_40_6;0.063;0.04;0.006;4.63;0.00059;0.007;0.0023;2.331E-07;0.00000558;0.0199;7.29E-08;0.00000242;0.0111;4.36E-08;0.00000202;0.0086;0.0099;0.021218644;7.41E-08;0.393
63_40_8;0.063;0.04;0.008;6.03;0.000768;0.007;0.0023;0.000000296;0.00000722;0.0196;9.15E-08;0.00000312;0.0109;5.58E-08;0.0000026;0.0085;0.0106;0.022;9.27E-08;0.386
65_50_5;0.065;0.05;0.005;4.36;0.00056;0.006;0.002;2.341E-07;0.0000052;0.0205;1.208E-07;0.00000323;0.0147;6.41E-08;0.00000268;0.0107;0.0126;0.02;9.77E-08;0.576
65_50_6;0.065;0.05;0.006;5.18;0.00066;0.006;0.002;2.746E-07;0.00000616;0.0204;1.412E-07;0.00000382;0.0146;7.52E-08;0.00000315;0.0107;0.013;0.020404545;1.146E-07;0.575
65_50_7;0.065;0.05;0.007;5.98;0.000762;0.006;0.002;3.132E-07;0.00000708;0.0203;1.605E-07;0.00000428;0.0145;0.000000086;0.00000359;0.0106;0.0133;0.020788714;1.294E-07;0.571
65_50_8;0.065;0.05;0.008;6.77;0.000862;0.006;0.002;0.00000035;0.00000799;0.0202;1.888E-07;0.00000485;0.0144;9.65E-08;0.00000402;0.0106;0.0137;0.021164733;1.361E-07;0.57
70_45_5;0.07;0.045;0.005;4.39;0.000559;0.0075;0.0025;2.776E-07;0.00000588;0.0223;9.05E-08;0.00000262;0.0127;5.34E-08;0.0000022;0.0098;0.0105;0.022808587;9.12E-08;0.406
75_60_5;0.075;0.06;0.005;4.79;0.00061;0.008;0.0027;3.481E-07;0.00000681;0.0239;1.247E-07;0.00000325;0.0143;7.24E-08;0.00000273;0.0109;0.0117;0.0239;0.00000012;0.436
75_60_6;0.075;0.06;0.006;5.69;0.000725;0.008;0.0027;4.092E-07;0.00000808;0.0238;0.000000146;0.00000385;0.0142;8.48E-08;0.00000321;0.0108;0.0121;0.0244;0.000000141;0.435
75_60_7;0.075;0.06;0.007;6.57;0.000837;0.008;0.0027;4.677E-07;0.00000931;0.0236;1.661E-07;0.00000443;0.0141;9.69E-08;0.00000369;0.0108;0.0125;0.0248;1.618E-07;0.435
75_60_8;0.075;0.06;0.008;7.43;0.000946;0.008;0.0027;5.238E-07;0.00001052;0.0235;1.852E-07;0.00000488;0.014;1.087E-07;0.00000414;0.0107;0.0129;0.0252;0.000000178;0.43
80_50_5;0.08;0.05;0.005;4.99;0.000635;0.008;0.0027;4.164E-07;0.00000771;0.0256;1.268E-07;0.00000328;0.0141;7.57E-08;0.00000275;0.01;0.0113;0.026082677;0.000000132;0.387
80_50_6;0.08;0.05;0.006;5.92;0.000754;0.008;0.0027;4.898E-07;0.00000915;0.0255;1.485E-07;0.00000388;0.014;8.88E-08;0.00000324;0.0108;0.0117;0.026514589;0.000000155;0.386
80_60_6;0.08;0.06;0.006;6.39;0.000815;0.008;0.0027;5.206E-07;0.00000942;0.0253;2.518E-07;0.00000558;0.0176;1.361E-07;0.00000466;0.0129;0.0149;0.0247;2.098E-07;0.547
80_60_7;0.08;0.06;0.007;7.39;0.000941;0.008;0.0027;5.961E-07;0.00001087;0.0252;2.874E-07;0.00000643;0.0175;1.558E-07;0.00000534;0.0129;0.0153;0.025184378;2.401E-07;0.546
