index;index1;index2;gamma_c;description
1;1;;0.9;Балки сплошного сечения и сжатые элементы ферм перекрытий под залами театров, клубов, кинотеатров, под трибунами, под помещениями магазинов, книгохранилищ и архивов и т.п. при временной нагрузке, не превышающей вес перекрытий
2a;2;a;0.95;Колонны общественных и жилых зданий при постоянной нагрузке, равной не менее 0,8 расчетной
2b;2;b;0.95;Колонны многоэтажных зданий высотой до 150 м включительно
2c;2;c;0.9;Колонны двутаврового сечения многоэтажных зданий высотой более 150 м
2d;2;d;0.87;Колонны коробчатого сечения многоэтажных зданий высотой более 150 м
2e;2;e;0.95;Колонны опоры водонапорных башен
3;3;;1.05;Колонны одноэтажных производственных зданий с мостовыми кранами
4;4;;0.8;Сжатые основные элементы (кроме опорных) решетки составного таврового сечения из двух уголков в сварных фермах покрытий и перекрытий при расчете на устойчивость указанных элементов с гибкостью >60
5;5;;0.9;Растянутые элементы (затяжки, тяги, оттяжки, подвески) при расчете на прочность по неослабленному сечению
6;6;;1.1;Элементы конструкций из стали с пределом текучести до 440 Н/мм2, несущие статическую нагрузку, при расчете на прочность по сечению, ослабленному отверстиями для болтов (кроме фрикционных соединений)
7a;7;a;0.9;Сжатые элементы решетки пространственных решетчатых конструкций из одиночных уголков, прикрепляемые одной полкой (для неравнополочных уголков - большей полкой) непосредственно к поясам сварными швами либо двумя болтами и более, установленными вдоль уголка: раскосы по рисунку 15, а и распорки по рисунку 15, б, в, е
7b;7;b;0.8;Сжатые элементы решетки пространственных решетчатых конструкций из одиночных уголков, прикрепляемые одной полкой (для неравнополочных уголков - большей полкой) непосредственно к поясам сварными швами либо двумя болтами и более, установленными вдоль уголка: раскосы по рисунку 15, в, г, д, е
7c;7;c;0.75;Сжатые элементы решетки пространственных решетчатых конструкций из одиночных уголков, прикрепляемые одной полкой (для неравнополочных уголков - большей полкой) непосредственно к поясам одним болтом или через фасонку независимо от вида соединения
8;8;;0.75;Сжатые элементы из одиночных уголков, прикрепляемых одной полкой (для неравнополочных уголков - меньшей  полкой), за исключением элементов плоских ферм из одиночных уголков и элементов, указанных в позиции 7 настоящей таблицы, раскосов по рисунку 15, б, прикрепляемых непосредственно к поясам сварными швами либо двумя болтами и более, установленными вдоль уголка, и плоских ферм из одиночных уголков
9a;9;a;1.2;Опорные плиты из стали с пределом текучести до 390 Н/мм2, несущие статическую нагрузку, толщиной до 40мм
9b;9;b;1.15;Опорные плиты из стали с пределом текучести до 390 Н/мм2, несущие статическую нагрузку, толщиной св. 40 до 60мм
9c;9;c;1.1;Опорные плиты из стали с пределом текучести до 390 Н/мм2, несущие статическую нагрузку, толщиной св.60  до 80мм
