Steel;t_min;t_max;Ryn;Run
С235;2;4;235;360
С245;2;20;245;370
С255;2;3.9;255;380
С255;4;10;245;380
С255;10;20;245;370
С255;20;40;235;370
С355;2;16;355;490
С355;16;40;345;490
С355;40;60;335;490
С355;60;80;325;490
С355;80;100;315;470
С355;100;160;295;470
С355;160;200;285;470
С355;200;260;270;450
С355;260;300;260;450
С355;300;360;245;440
С390;5;40;390;520
С390;40;60;385;520
С390;60;80;375;510
С390;80;100;365;510
С390;100;160;360;510
С440;5;40;440;540
С440;40;60;430;540
С440;60;80;425;530
С440;60;80;425;530
С440;80;100;415;530
С440;100;160;405;530
С550;8;50;540;640
С590;8;50;590;685
С690;8;50;690;785
