Resistance ;Type;В1.5;В2;В2.5;В3.5;В5;В7.5;В10;В12.5;В15;В20;В25;В30;В35;В40;В45;В50;В55;В60;В70;B80;В90;В100
Rbn;Heavy;NaN;NaN;NaN;2.7;3.5;5.5;7.5;9.5;11;15;18.5;22;25.5;29;32;36;39.5;43;50;57;64;71
Rbn;Fine-grained;NaN;NaN;NaN;2.7;3.5;5.5;7.5;9.5;11;15;18.5;22;25.5;29;32;36;39.5;43;50;57;64;71
Rbn;Self-stressed;NaN;NaN;NaN;2.7;3.5;5.5;7.5;9.5;11;15;18.5;22;25.5;29;32;36;39.5;43;50;57;64;71
Rbn;Lightweight;NaN;NaN;1.9;2.7;3.5;5.5;7.5;9.5;11;15;18.5;22;25.5;29;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Rbn;Cellular ;1.4;1.9;2.4;3.3;4.6;6.9;9;10.5;11.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Rbt,n;Heavy;NaN;NaN;NaN;0.39;0.55;0.7;0.85;1;1.1;1.35;1.55;1.75;1.95;2.1;2.25;2.45;2.6;2.75;3;3.3;3.6;3.8
Rbt,n;Fine-grained;NaN;NaN;NaN;0.39;0.55;0.7;0.85;1;1.1;1.35;1.55;1.75;1.95;2.1;2.25;2.45;2.6;2.75;3;3.3;3.6;3.8
Rbt,n;Self-stressed;NaN;NaN;NaN;0.39;0.55;0.7;0.85;1;1.1;1.35;1.55;1.75;1.95;2.1;2.25;2.45;2.6;2.75;3;3.3;3.6;3.8
Rbt,n;Lightweight;NaN;NaN;0.29;0.39;0.55;0.7;0.85;1;1.1;1.35;1.55;1.75;1.95;2.1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Rbt,n;Cellular ;0.22;0.26;0.31;0.41;0.55;0.63;0.89;1;1.05;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
