Section;h;b;s;t;R;A;m;Ix;Wx;Sx;rx;Iy;Wy;ry
10Б1;0.1;0.055;0.0041;0.0057;0.007;0.001032;8.1;0.00000171;0.0000342;0.0000197;0.0407;0.000000159;0.0000058;0.0124
12Б1;0.1176;0.064;0.0038;0.0051;0.007;0.001103;8.7;0.00000257;0.0000438;0.0000249;0.0483;0.000000224;0.000007;0.0143
12Б2;0.12;0.064;0.0044;0.0063;0.007;0.001321;10.4;0.00000318;0.000053;0.0000304;0.049;0.000000277;0.0000087;0.0145
14Б1;0.1374;0.073;0.0038;0.0056;0.007;0.001339;10.5;0.00000435;0.0000633;0.0000358;0.057;0.000000364;0.00001;0.0165
14Б2;0.14;0.073;0.0047;0.0069;0.007;0.001643;12.9;0.00000541;0.0000773;0.0000442;0.0574;0.000000449;0.0000123;0.0165
16Б1;0.157;0.082;0.004;0.0059;0.009;0.001618;12.7;0.00000689;0.0000878;0.0000496;0.0653;0.000000544;0.0000133;0.0183
16Б2;0.16;0.082;0.005;0.0074;0.009;0.002009;15.8;0.00000869;0.0001087;0.0000619;0.0658;0.000000683;0.0000167;0.0184
18Б1;0.177;0.091;0.0043;0.0065;0.009;0.001958;15.4;0.00001063;0.0001201;0.0000677;0.0737;0.000000819;0.000018;0.0205
18Б2;0.18;0.091;0.0053;0.008;0.009;0.022395;18.8;0.00001317;0.0001463;0.0000832;0.0742;0.000001008;0.0000222;0.0205
20Б1;0.2;0.1;0.0055;0.008;0.011;0.002716;21.3;0.00001844;0.0001844;0.0001047;0.0824;0.000001339;0.0000268;0.0222
25Б1;0.248;0.124;0.005;0.008;0.012;0.003268;25.7;0.00003537;0.0002853;0.0001597;0.104;0.000002548;0.0000411;0.0279
25Б2;0.25;0.125;0.006;0.009;0.012;0.003766;29.6;0.00004052;0.0003242;0.0001829;0.1037;0.000002938;0.000047;0.0279
30Б1;0.298;0.149;0.0055;0.008;0.013;0.00408;32;0.00006319;0.0004241;0.0002375;0.1244;0.000004419;0.0000593;0.0329
30Б2;0.3;0.15;0.0065;0.009;0.013;0.004678;36.7;0.0000721;0.0004806;0.0002711;0.1241;0.000005074;0.0000677;0.0329
35Б1;0.346;0.174;0.006;0.009;0.014;0.005268;41.4;0.00011095;0.0006413;0.0003581;0.1451;0.000007914;0.000091;0.0388
35Б2;0.35;0.175;0.007;0.011;0.014;0.006314;49.6;0.0001356;0.0007748;0.000434;0.1465;0.000009842;0.0001125;0.0395
40Б1;0.396;0.199;0.007;0.011;0.016;0.007216;56.6;0.0002002;0.0010111;0.000564;0.1666;0.000014469;0.0001454;0.0448
40Б2;0.4;0.2;0.008;0.013;0.016;0.008412;66;0.00023706;0.0011853;0.0006632;0.1679;0.000017362;0.0001736;0.0454
45Б1;0.446;0.199;0.008;0.012;0.018;0.00843;66.2;0.00028699;0.001287;0.0007251;0.1845;0.000015797;0.0001588;0.0433
45Б2;0.45;0.2;0.009;0.014;0.018;0.009676;76;0.00033453;0.0014868;0.0008396;18.59;0.000018713;0.0001871;0.044
50Б1;0.492;0.199;0.0088;0.012;0.02;0.009238;72.5;0.00036845;0.0014978;0.0008535;0.1997;0.000015815;0.0001589;0.0414
50Б2;0.496;0.199;0.009;0.014;0.02;0.101127;79.5;0.00041872;0.0016884;0.0009573;0.2033;0.000018444;0.0001854;0.0427
50Б3;0.5;0.2;0.01;0.016;0.02;0.011423;89.7;0.00047849;0.001914;0.0010877;0.2047;0.000021403;0.000214;0.0433
